"PTLA";"CTSO";"LGND";"CIZN";"AMBC";"GBT";"SITO";"ADP";"RDI";"ADRO";"CENTA";"SELF";"CSWI";"IOTS";"KINS";"BSF";"GFN";"JJSF";"CMRX";"FUSB";"HMSY";"SMBK";"IFON";"CGNT";"COBZ";"CSTR";"IART";"SNMX";"FRTA";"XGTI";"AAXN"
53,58;6,7;134,4;23,75;15,04;44,975;6,25;115,88;15,88;8,25;39,32;4,7;46,925;7,45;18,875;10,23;6,35;149,13;4,37;13,7;16,455;21,53;1,46;2,95;20,44;21,26;48,66;1,57;9,15;1,65;24,525
53,67;6,75;134,45;23,945;15,04;45;6,255;115,9;15,92;8,25;39,35;4,71;46,7;7,4;18,95;10,24;6,35;149,19;4,38;13,9;16,45;21,53;1,46;2,94;20,46;21,29;48,675;1,58;9,15;1,6502;24,55
53,59;6,73;134,68;23,895;15,04;45,05;6,25;115,9;15,87;8,275;39,44;4,73;46,85;7,4;19,15;10,24;6,35;149,02;4,36;13,9;16,44;21,55;1,45;2,95;20,43;21,43;48,69;1,57;9,13;1,66;24,54
53,67;6,7367;134,5301;23,85;15,03;45,05;6,26;115,89;15,865;8,25;39,35;4,74;46,85;7,4;19,15;10,24;6,4;149,02;4,36;13,98;16,44;21,64;1,42;2,95;20,43;21,43;48,74;1,575;9,16;1,66;24,54
53,4579;6,7;134,53;23,7;15,03;45,1;6,26;115,845;15,88;8,25;39,39;4,72;46,8;7,4;19,2;10,24;6,4;149,1;4,37;14,35;16,43;21,53;1,4;2,95;20,43;21,38;48,75;1,58;9,16;1,66;24,54
53,42;6,6843;134,78;23,75;15,04;45,331;6,24;115,84;15,9;8,275;39,33;4,72;46,95;7,45;19,102;10,24;6,4;149,265;4,36;14,2581;16,43;21,53;1,43;2,95;20,39;21,1;48,74;1,58;9,1625;1,66;24,5
53,32;6,7033;134,79;23,7;15,03;45,4;6,245;115,83;15,89;8,3;39,39;4,71;46,95;7,4;19,05;10,24;6,4;149,55;4,36;14,175;16,42;21,53;1,43;2,94;20,4;21,16;48,75;1,58;9,18;1,66;24,4961
53,43;6,7137;134,595;23,705;15,03;45,45;6,24;115,86;15,8899;8,275;39,3401;4,71;46,8;7,45;19;10,23;6,4;149,715;4,36;13,95;16,43;21,45;1,44;2,9404;20,4;21,19;48,68;1,58;9,17;1,654;24,495
53,3;6,7165;134,5;23,75;15,02;45,35;6,23;115,87;15,8899;8,3;39,34;4,71;45,65;7,4;18,95;10,24;6,4;149,72;4,355;13,68;16,425;21,35;1,46;2,93;20,36;21,28;48,65;1,575;9,18;1,64;24,5073
53,29;6,701;134,73;23,75;15,02;45,3;6,235;115,85;15,88;8,275;39,31;4,7;46,6;7,35;19;10,23;6,4;149,715;4,35;13,68;16,42;21,12;1,4644;2,94;20,36;21,34;48,64;1,58;9,15;1,65;24,56
53,22;6,7;134,71;23,75;15,02;45,2;6,235;115,87;15,97;8,275;39,27;4,7;46,65;7,37;19,25;10,22;6,4;149,67;4,35;13,6;16,43;21,1;1,44;2,97;20,38;21,34;48,645;1,58;9,16;1,6324;24,53
53,24;6,7;134,69;23,75;15,01;45,2;6,24;115,89;15,8;8,275;39,23;4,73;46,8;7,4;19,3;10,22;6,4;149,39;4,35;13,7801;16,425;21,26;1,44;2,94;20,38;21,2;48,64;1,57;9,17;1,65;24,53
53,23;6,7;134,53;23,75;15,01;45,2;6,24;115,89;16;8,3;39,23;4,7;46,95;7,375;19,2;10,24;6,4;149,6;4,345;13,771;16,43;21,48;1,4313;2,97;20,41;21,32;48,64;1,59;9,17;1,6304;24,525
53,295;6,725;134,625;23,75;15,01;45,2;6,25;115,89;15,98;8,275;39,2295;4,7;47,4;7,35;19,275;10,25;6,4;149,625;4,345;13,85;16,425;21,5;1,45;2,98;20,43;21,325;48,66;1,6198;9,1674;1,63;24,53
53,05;6,7;134,65;23,95;15,01;45,135;6,245;115,85;15,94;8,275;39,24;4,7;47,25;7,4;19,2;10,245;6,4;149,44;4,34;13,85;16,42;21,5;1,4445;3,04;20,435;21,52;48,64;1,61;9,16;1,63;24,54
53,12;6,7299;134,54;23,1;15,04;44,95;6,24;115,83;15,96;8,275;39,24;4,7;47,4;7,375;19,05;10,24;6,4;149,72;4,35;13,9;16,4;21,75;1,43;3,02;20,45;21,32;48,655;1,6;9,18;1,65;24,52
